 0.1000000E+01 -0.1621347E+01  0.1359851E+01 -0.2570096E+01  0.1062429E+01  0.2212976E+01  0.7985572E+00 -0.8387647E+00  0.1597621E+01  0.2045520E+01 -0.2642270E+01  0.3474136E+00 -0.2680230E+01  0.2243420E+01 -0.2013206E+01 -0.7422384E+00  0.1096539E+01 -0.2843222E+00  0.2788987E+01  0.1503521E+01 -0.1709430E+01 -0.7060313E+00  0.2572240E+01  0.2305290E+01 -0.8871626E-01 -0.2013539E+01 -0.2018727E+01  0.5370969E+00 -0.2160871E+01  0.1435932E+01 -0.1602056E+00 -0.2927071E+00  0.7380107E+00  0.1179505E+01  0.6222213E-01  0.7201047E+00 -0.5561787E+00  0.2713208E+01 -0.2383740E+01 -0.3009404E+00  0.1099309E+01
 0.2000000E+01 -0.1532500E+01  0.1284622E+01 -0.2429710E+01  0.1003708E+01  0.2090237E+01  0.7544560E+00 -0.7926832E+00  0.1509175E+01  0.1932125E+01 -0.2497978E+01  0.3282543E+00 -0.2533884E+01  0.2118981E+01 -0.1903031E+01 -0.7014472E+00  0.1035926E+01 -0.2686736E+00  0.2634039E+01  0.1420308E+01 -0.1615784E+01 -0.6672254E+00  0.2429424E+01  0.2177396E+01 -0.8383044E-01 -0.1903346E+01 -0.1908252E+01  0.5074592E+00 -0.2042674E+01  0.1356476E+01 -0.1513847E+00 -0.2765975E+00  0.6972609E+00  0.1114289E+01  0.5879376E-01  0.6803458E+00 -0.5255944E+00  0.2562503E+01 -0.2253451E+01 -0.2843781E+00  0.1038543E+01
 0.3000000E+01 -0.1454321E+01  0.1218382E+01 -0.2306209E+01  0.9520057E+00  0.1982145E+01  0.7156289E+00 -0.7521273E+00  0.1431293E+01  0.1832265E+01 -0.2371042E+01  0.3113879E+00 -0.2405142E+01  0.2009391E+01 -0.1806093E+01 -0.6655465E+00  0.9825583E+00 -0.2548998E+00  0.2497564E+01  0.1347035E+01 -0.1533383E+01 -0.6330717E+00  0.2303640E+01  0.2064761E+01 -0.7952975E-01 -0.1806392E+01 -0.1811050E+01  0.4813674E+00 -0.1938682E+01  0.1286512E+01 -0.1436203E+00 -0.2624179E+00  0.6613849E+00  0.1056868E+01  0.5577588E-01  0.6453423E+00 -0.4986757E+00  0.2429767E+01 -0.2138826E+01 -0.2698000E+00  0.9850394E+00
 0.4000000E+01 -0.1385032E+01  0.1159633E+01 -0.2196777E+01  0.9061538E+00  0.1886258E+01  0.6811972E+00 -0.7161763E+00  0.1362215E+01  0.1743684E+01 -0.2258569E+01  0.2964324E+00 -0.2291071E+01  0.1912175E+01 -0.1720187E+01 -0.6337214E+00  0.9352286E+00 -0.2426882E+00  0.2376485E+01  0.1282047E+01 -0.1460354E+01 -0.6027950E+00  0.2192052E+01  0.1964844E+01 -0.7571669E-01 -0.1720472E+01 -0.1724910E+01  0.4582307E+00 -0.1846527E+01  0.1224460E+01 -0.1367364E+00 -0.2498466E+00  0.6295706E+00  0.1005942E+01  0.5310008E-01  0.6143018E+00 -0.4748119E+00  0.2312008E+01 -0.2037255E+01 -0.2568755E+00  0.9375897E+00
 0.5000000E+01 -0.1323233E+01  0.1107196E+01 -0.2099201E+01  0.8652311E+00  0.1800656E+01  0.6504689E+00 -0.6841052E+00  0.1300555E+01  0.1664608E+01 -0.2158283E+01  0.2830869E+00 -0.2189360E+01  0.1825386E+01 -0.1643575E+01 -0.6053302E+00  0.8929867E+00 -0.2317930E+00  0.2268379E+01  0.1224039E+01 -0.1395222E+01 -0.5757849E+00  0.2092425E+01  0.1875641E+01 -0.7231450E-01 -0.1643848E+01 -0.1648090E+01  0.4375838E+00 -0.1764347E+01  0.1169074E+01 -0.1305944E+00 -0.2386305E+00  0.6011786E+00  0.9604900E+00  0.5071252E-01  0.5866006E+00 -0.4535220E+00  0.2206868E+01 -0.1946683E+01 -0.2453442E+00  0.8952406E+00
 0.6000000E+01 -0.1267807E+01  0.1060129E+01 -0.2011709E+01  0.8285022E+00  0.1723806E+01  0.6228915E+00 -0.6553350E+00  0.1245206E+01  0.1593619E+01 -0.2068363E+01  0.2711113E+00 -0.2098164E+01  0.1747469E+01 -0.1574871E+01 -0.5798605E+00  0.8550734E+00 -0.2220178E+00  0.2171311E+01  0.1171970E+01 -0.1336807E+01 -0.5515539E+00  0.2002974E+01  0.1795556E+01 -0.6926187E-01 -0.1575133E+01 -0.1579200E+01  0.4190553E+00 -0.1690652E+01  0.1119359E+01 -0.1250835E+00 -0.2285673E+00  0.5756983E+00  0.9196946E+00  0.4857019E-01  0.5617404E+00 -0.4344218E+00  0.2112465E+01 -0.1865467E+01 -0.2349983E+00  0.8572311E+00
 0.7000000E+01 -0.1217848E+01  0.1017671E+01 -0.1932870E+01  0.7953722E+00  0.1654464E+01  0.5980180E+00 -0.6293974E+00  0.1195275E+01  0.1529569E+01 -0.1987339E+01  0.2603112E+00 -0.2015991E+01  0.1677165E+01 -0.1512952E+01 -0.5568977E+00  0.8208747E+00 -0.2132036E+00  0.2083716E+01  0.1124998E+01 -0.1284156E+01 -0.5297077E+00  0.1922258E+01  0.1723295E+01 -0.6650921E-01 -0.1513203E+01 -0.1517112E+01  0.4023447E+00 -0.1624237E+01  0.1074511E+01 -0.1201143E+00 -0.2194935E+00  0.5527167E+00  0.8828955E+00  0.4663829E-01  0.5393181E+00 -0.4172008E+00  0.2027276E+01 -0.1792281E+01 -0.2256697E+00  0.8229457E+00
 0.8000000E+01 -0.1172619E+01  0.9791984E+00 -0.1861515E+01  0.7653545E+00  0.1591618E+01  0.5754828E+00 -0.6059091E+00  0.1150027E+01  0.1471521E+01 -0.1914007E+01  0.2505276E+00 -0.1941620E+01  0.1613445E+01 -0.1456901E+01 -0.5361029E+00  0.7898885E+00 -0.2052204E+00  0.2004313E+01  0.1082433E+01 -0.1236490E+01 -0.5099238E+00  0.1849094E+01  0.1657800E+01 -0.6401595E-01 -0.1457143E+01 -0.1460909E+01  0.3872061E+00 -0.1564119E+01  0.1033872E+01 -0.1156134E+00 -0.2112752E+00  0.5318959E+00  0.8495522E+00  0.4488838E-01  0.5190041E+00 -0.4016048E+00  0.1950055E+01 -0.1726036E+01 -0.2172206E+00  0.7918807E+00
 0.9000000E+01 -0.1131506E+01  0.9441962E+00 -0.1796675E+01  0.7380469E+00  0.1534426E+01  0.5549838E+00 -0.5845537E+00  0.1108858E+01  0.1418698E+01 -0.1847372E+01  0.2416292E+00 -0.1874042E+01  0.1555459E+01 -0.1405958E+01 -0.5171957E+00  0.7616995E+00 -0.1979610E+00  0.1932043E+01  0.1043706E+01 -0.1193164E+01 -0.4919356E+00  0.1782507E+01  0.1598198E+01 -0.6174857E-01 -0.1406191E+01 -0.1409827E+01  0.3734364E+00 -0.1509482E+01  0.9968978E+00 -0.1115204E+00 -0.2038020E+00  0.5129568E+00  0.8192183E+00  0.4329692E-01  0.5005261E+00 -0.3874236E+00  0.1879774E+01 -0.1665837E+01 -0.2095374E+00  0.7636202E+00
 0.1000000E+02 -0.1094001E+01  0.9122351E+00 -0.1737544E+01  0.7131142E+00  0.1482191E+01  0.5362690E+00 -0.5650670E+00  0.1071263E+01  0.1370456E+01 -0.1786606E+01  0.2335064E+00 -0.1812416E+01  0.1502497E+01 -0.1359491E+01 -0.4999425E+00  0.7359618E+00 -0.1913356E+00  0.1866026E+01  0.1008342E+01 -0.1153640E+01 -0.4755208E+00  0.1721684E+01  0.1543759E+01 -0.5967910E-01 -0.1359717E+01 -0.1363234E+01  0.3608663E+00 -0.1459649E+01  0.9631356E+00 -0.1077847E+00 -0.1969815E+00  0.4956663E+00  0.7915215E+00  0.4184431E-01  0.4836567E+00 -0.3744823E+00  0.1815573E+01 -0.1610934E+01 -0.2025254E+00  0.7378171E+00
